Images	Resized	Accuracy	Validation
10	1	0.98602796	0.7860465
10	0	0.996008	0.80465114
20	1	0.9758308	0.6866197
20	0	0.99848944	0.7429578
30	1	0.98822373	0.7505721
30	0	1.0	0.72540045
40	1	0.9880795	0.76080245
40	0	1.0	0.7330247
50	1	0.97775173	0.67896175
50	0	0.98711944	0.6229508
60	1	0.982906	0.73306775
60	0	0.99529916	0.686255
70	1	0.98150945	0.7130282
70	0	0.99433964	0.65316904
80	1	0.970316	0.7602383
